,Flow Card?,Bags Checked,Meal Type,Date,Flight Number,From,To,Class,Price
1331,Yes,3,Egg Free,2024-09-07,PA008,Perth,New York,Business Class,698.4
1332,Yes,2,None,2024-12-13,PA012,Tokyo,Perth,Premium Economy,1092.5
1333,Yes,2,None,2024-02-22,PA002,New York,London,Premium Economy,1027.5
1335,Yes,0,None,2024-02-15,PA005,London,Tokyo,Economy,1800.0
1336,Yes,2,Nut Free,2024-06-22,PA011,Perth,Tokyo,Economy,2725.0
1337,Yes,2,Nut Free,2024-03-17,PA005,London,Tokyo,Economy,2350.0
1339,Yes,0,None,2024-03-04,PA008,Perth,New York,Premium Economy,1215.0
1340,Yes,2,Dairy Free,2024-12-15,PA006,Tokyo,London,Premium Economy,1140.0
1341,Yes,2,Egg Free,2024-01-02,PA010,Tokyo,New York,Business Class,507.6
1342,Yes,2,Vegetarian,2024-11-13,PA011,Perth,Tokyo,First Class,353.0
1344,Yes,2,Nut Free,2024-07-13,PA006,Tokyo,London,Economy,3375.0
1345,Yes,0,Vegetarian,2024-09-12,PA004,Perth,London,Economy,1645.0
1346,Yes,0,Vegan,2024-02-27,PA002,New York,London,First Class,325.0
1348,Yes,0,None,2024-08-04,PA007,New York,Perth,Economy,2390.0
1350,Yes,0,Egg Free,2024-09-05,PA001,London,New York,Premium Economy,1202.5
1354,Yes,0,Nut Free,2024-08-13,PA007,New York,Perth,Premium Economy,815.0
1355,Yes,2,None,2024-06-04,PA009,New York,Tokyo,Premium Economy,1525.0
1358,Yes,3,Nut Free,2024-12-18,PA012,Tokyo,Perth,Economy,2565.0
1359,Yes,2,Vegan,2024-05-14,PA002,New York,London,Business Class,667.1999999999999
1360,Yes,1,Nut Free,2024-07-29,PA003,London,Perth,Premium Economy,615.0
1361,Yes,1,Egg Free,2024-06-03,PA007,New York,Perth,First Class,636.0
1362,Yes,2,Vegetarian,2024-02-09,PA005,London,Tokyo,First Class,519.0
1365,Yes,1,Vegetarian,2024-03-10,PA008,Perth,New York,Premium Economy,1737.5
1368,Yes,1,Vegetarian,2024-11-27,PA011,Perth,Tokyo,First Class,509.0
1371,Yes,0,Vegan,2024-06-26,PA002,New York,London,First Class,335.0
1373,Yes,2,Nut Free,2024-10-07,PA002,New York,London,First Class,684.0
1375,Yes,3,None,2024-10-29,PA003,London,Perth,Economy,2720.0
1377,Yes,1,Egg Free,2024-10-12,PA009,New York,Tokyo,Business Class,478.8
1378,Yes,2,Nut Free,2024-09-19,PA007,New York,Perth,First Class,231.0
1381,Yes,3,Egg Free,2024-07-20,PA010,Tokyo,New York,Business Class,370.8
1382,Yes,3,Egg Free,2024-09-21,PA004,Perth,London,Business Class,733.1999999999998
1383,Yes,1,Dairy Free,2024-07-02,PA002,New York,London,Premium Economy,1142.5
1384,Yes,3,Vegetarian,2024-02-17,PA007,New York,Perth,First Class,245.0
1385,Yes,1,Nut Free,2024-08-22,PA009,New York,Tokyo,Premium Economy,1090.0
1386,Yes,3,Nut Free,2024-12-03,PA004,Perth,London,Premium Economy,1695.0
1388,Yes,0,Nut Free,2024-12-12,PA009,New York,Tokyo,Economy,1495.0
1390,Yes,0,Dairy Free,2024-03-13,PA004,Perth,London,Business Class,835.1999999999998
1391,Yes,0,Egg Free,2024-09-05,PA012,Tokyo,Perth,Business Class,675.6
1392,Yes,2,Vegan,2024-08-02,PA002,New York,London,Premium Economy,1060.0
1393,Yes,0,Vegan,2024-12-10,PA010,Tokyo,New York,Economy,1235.0
1395,Yes,0,Vegetarian,2024-10-20,PA005,London,Tokyo,Economy,3175.0
1396,Yes,0,None,2024-06-21,PA009,New York,Tokyo,Premium Economy,1000.0
1399,Yes,3,Egg Free,2024-10-08,PA002,New York,London,Business Class,619.1999999999999
1400,Yes,1,Nut Free,2024-07-14,PA007,New York,Perth,Premium Economy,590.0
1402,Yes,3,Egg Free,2024-09-27,PA007,New York,Perth,Business Class,459.6
1403,Yes,2,None,2024-11-21,PA010,Tokyo,New York,Business Class,518.4
1404,Yes,3,Egg Free,2024-01-29,PA008,Perth,New York,Business Class,831.6
1408,Yes,0,Dairy Free,2024-01-26,PA003,London,Perth,Premium Economy,1485.0
1409,Yes,0,Dairy Free,2024-04-03,PA009,New York,Tokyo,Economy,2290.0
1410,Yes,3,Nut Free,2024-05-15,PA011,Perth,Tokyo,First Class,382.0
1411,Yes,3,Egg Free,2024-11-13,PA003,London,Perth,Economy,1685.0
1415,Yes,2,None,2024-11-04,PA007,New York,Perth,Economy,2330.0
1416,Yes,0,Dairy Free,2024-06-25,PA012,Tokyo,Perth,Business Class,697.1999999999999
1417,Yes,0,Vegan,2024-10-14,PA007,New York,Perth,Premium Economy,802.5
1418,Yes,0,Vegetarian,2024-02-01,PA012,Tokyo,Perth,Premium Economy,647.5
1419,Yes,0,Egg Free,2024-07-06,PA001,London,New York,Economy,1280.0
1420,Yes,0,Nut Free,2024-02-19,PA012,Tokyo,Perth,First Class,340.0
1424,Yes,3,None,2024-05-11,PA011,Perth,Tokyo,Economy,1565.0
1425,Yes,3,Vegetarian,2024-04-12,PA005,London,Tokyo,Economy,2390.0
1427,Yes,3,Egg Free,2024-04-06,PA012,Tokyo,Perth,Business Class,302.4
1429,Yes,1,None,2024-02-07,PA009,New York,Tokyo,First Class,345.0
1430,Yes,2,Vegetarian,2024-07-07,PA003,London,Perth,Premium Economy,762.5
1433,Yes,2,Egg Free,2024-05-08,PA007,New York,Perth,Premium Economy,1030.0
1435,Yes,1,Dairy Free,2024-07-22,PA010,Tokyo,New York,First Class,432.0
1439,Yes,3,Vegetarian,2024-03-26,PA011,Perth,Tokyo,First Class,348.0
1440,Yes,3,None,2024-03-25,PA004,Perth,London,First Class,516.0
1443,Yes,0,Vegetarian,2024-12-05,PA005,London,Tokyo,Premium Economy,1690.0
1444,Yes,1,Nut Free,2024-10-31,PA011,Perth,Tokyo,Economy,1170.0
1445,Yes,1,Nut Free,2024-04-25,PA006,Tokyo,London,First Class,399.0
1446,Yes,2,Nut Free,2024-02-26,PA001,London,New York,Premium Economy,1262.5
1450,Yes,3,Egg Free,2024-04-23,PA001,London,New York,Premium Economy,552.5
1452,Yes,0,Vegetarian,2024-08-30,PA009,New York,Tokyo,First Class,482.0
1457,Yes,1,Nut Free,2024-09-27,PA001,London,New York,Business Class,831.6
1460,Yes,2,Dairy Free,2024-04-01,PA005,London,Tokyo,First Class,270.0
1461,Yes,3,Egg Free,2024-09-11,PA005,London,Tokyo,Business Class,724.7999999999998
1464,Yes,1,None,2024-12-27,PA005,London,Tokyo,First Class,602.0
1469,Yes,0,Vegetarian,2024-12-23,PA009,New York,Tokyo,Premium Economy,1030.0
1470,Yes,2,None,2024-07-10,PA012,Tokyo,Perth,Premium Economy,1592.5
1478,Yes,0,Vegetarian,2024-07-24,PA011,Perth,Tokyo,First Class,413.0
1481,Yes,2,Vegan,2024-01-29,PA006,Tokyo,London,Economy,1095.0
1483,Yes,0,Egg Free,2024-08-27,PA008,Perth,New York,Premium Economy,1637.5
1485,Yes,2,Nut Free,2024-05-21,PA010,Tokyo,New York,Premium Economy,667.5
1487,Yes,1,None,2024-09-14,PA009,New York,Tokyo,Economy,2875.0
1491,Yes,2,Vegan,2024-01-26,PA011,Perth,Tokyo,First Class,216.0
1492,Yes,1,Egg Free,2024-08-15,PA006,Tokyo,London,Economy,2395.0
1493,Yes,2,Egg Free,2024-11-01,PA009,New York,Tokyo,Business Class,373.2
1495,Yes,3,Vegetarian,2024-04-03,PA006,Tokyo,London,Economy,1930.0
1498,Yes,0,Egg Free,2024-12-09,PA002,New York,London,First Class,352.0
1499,Yes,0,Vegan,2024-05-21,PA002,New York,London,Business Class,795.6
1500,Yes,2,Vegetarian,2024-06-02,PA011,Perth,Tokyo,Premium Economy,762.5
1502,Yes,1,Vegetarian,2024-10-16,PA011,Perth,Tokyo,First Class,572.0
1503,Yes,0,Vegan,2024-11-04,PA001,London,New York,Premium Economy,522.5
1504,Yes,1,None,2024-03-19,PA009,New York,Tokyo,Premium Economy,1170.0
1508,Yes,1,Vegan,2024-05-02,PA002,New York,London,Premium Economy,695.0
1509,Yes,0,None,2024-12-12,PA003,London,Perth,Business Class,482.4
1510,Yes,1,None,2024-12-28,PA007,New York,Perth,Business Class,460.8
1513,Yes,2,Vegan,2024-09-21,PA002,New York,London,First Class,533.0
1514,Yes,2,Vegan,2024-10-28,PA008,Perth,New York,Premium Economy,1342.5
1516,Yes,0,Vegan,2024-12-21,PA003,London,Perth,Economy,1495.0
1519,Yes,1,Egg Free,2024-04-07,PA002,New York,London,Business Class,462.0
1523,Yes,1,Egg Free,2024-01-10,PA007,New York,Perth,Business Class,406.8
1524,Yes,2,Egg Free,2024-09-11,PA004,Perth,London,Premium Economy,1132.5
1525,Yes,1,None,2024-05-07,PA004,Perth,London,First Class,438.0
1529,Yes,0,Egg Free,2024-05-01,PA011,Perth,Tokyo,First Class,385.0
1532,Yes,3,Nut Free,2024-09-27,PA008,Perth,New York,Premium Economy,1037.5
1535,Yes,3,Dairy Free,2024-10-17,PA007,New York,Perth,Premium Economy,1580.0
1536,Yes,0,None,2024-10-07,PA012,Tokyo,Perth,Business Class,387.6
1537,Yes,0,Vegetarian,2024-03-21,PA004,Perth,London,First Class,260.0
1539,Yes,3,Nut Free,2024-11-12,PA010,Tokyo,New York,Economy,3295.0
1540,Yes,2,None,2024-09-21,PA001,London,New York,First Class,215.0
1542,Yes,1,Nut Free,2024-12-29,PA002,New York,London,First Class,616.0
1544,Yes,0,Dairy Free,2024-08-06,PA007,New York,Perth,Business Class,664.8
1546,Yes,0,Vegan,2024-09-19,PA006,Tokyo,London,First Class,468.0
1547,Yes,2,None,2024-11-30,PA004,Perth,London,Economy,1200.0
1548,Yes,0,Egg Free,2024-10-29,PA001,London,New York,Economy,1695.0
1550,Yes,2,Vegan,2024-12-15,PA008,Perth,New York,Premium Economy,1690.0
1553,Yes,0,Vegan,2024-12-18,PA010,Tokyo,New York,Economy,1335.0
1554,Yes,0,Dairy Free,2024-01-22,PA012,Tokyo,Perth,Premium Economy,862.5
1556,Yes,0,Vegan,2024-06-23,PA004,Perth,London,Business Class,386.4
1558,Yes,0,None,2024-11-04,PA007,New York,Perth,Economy,2455.0
1559,Yes,3,Egg Free,2024-10-09,PA006,Tokyo,London,Business Class,428.4
1561,Yes,0,Egg Free,2024-09-24,PA002,New York,London,Economy,2690.0
1562,Yes,1,Dairy Free,2024-10-01,PA002,New York,London,Economy,1120.0
1564,Yes,0,Egg Free,2024-11-21,PA011,Perth,Tokyo,First Class,420.0
1565,Yes,1,None,2024-09-30,PA008,Perth,New York,Premium Economy,1355.0
1568,Yes,3,Nut Free,2024-08-09,PA006,Tokyo,London,Economy,1515.0
1569,Yes,0,Vegetarian,2024-10-20,PA005,London,Tokyo,Premium Economy,832.5
1570,Yes,2,Nut Free,2024-11-27,PA001,London,New York,Economy,2350.0
1571,Yes,3,Vegetarian,2024-09-27,PA004,Perth,London,Economy,2825.0
1573,Yes,2,Dairy Free,2024-12-08,PA003,London,Perth,Premium Economy,1330.0
1575,Yes,2,Dairy Free,2024-02-07,PA009,New York,Tokyo,Business Class,486.0
1577,Yes,1,Vegetarian,2024-03-13,PA011,Perth,Tokyo,First Class,610.0
1579,Yes,0,Vegan,2024-01-19,PA006,Tokyo,London,Premium Economy,1160.0
1580,Yes,3,Vegan,2024-07-12,PA012,Tokyo,Perth,Business Class,786.0
1582,Yes,2,Vegan,2024-05-02,PA002,New York,London,First Class,392.0
1584,Yes,0,Egg Free,2024-12-12,PA010,Tokyo,New York,First Class,688.0
1586,Yes,3,Nut Free,2024-03-27,PA011,Perth,Tokyo,Premium Economy,1610.0
1587,Yes,0,Dairy Free,2024-06-24,PA010,Tokyo,New York,Premium Economy,592.5
1588,Yes,2,Nut Free,2024-02-08,PA006,Tokyo,London,First Class,272.0
1589,Yes,2,Vegan,2024-04-20,PA011,Perth,Tokyo,Premium Economy,1517.5
1590,Yes,1,Nut Free,2024-09-27,PA002,New York,London,First Class,683.0
1592,Yes,0,Vegan,2024-08-11,PA011,Perth,Tokyo,Business Class,738.0
1593,Yes,2,Vegetarian,2024-02-04,PA011,Perth,Tokyo,Business Class,352.8
1596,Yes,3,None,2024-01-31,PA005,London,Tokyo,Premium Economy,1692.5
1600,Yes,1,None,2024-03-21,PA010,Tokyo,New York,Business Class,447.6
1601,Yes,2,Dairy Free,2024-06-26,PA010,Tokyo,New York,Premium Economy,1630.0
1604,Yes,1,Vegetarian,2024-09-17,PA010,Tokyo,New York,Business Class,324.0
1607,Yes,3,Dairy Free,2024-02-26,PA002,New York,London,Economy,2560.0
1610,Yes,1,Nut Free,2024-12-07,PA004,Perth,London,Premium Economy,1582.5
1611,Yes,2,Egg Free,2024-06-11,PA011,Perth,Tokyo,Business Class,480.0
1612,Yes,2,Nut Free,2024-01-05,PA009,New York,Tokyo,Economy,1805.0
1614,Yes,2,Nut Free,2024-08-06,PA009,New York,Tokyo,Economy,1900.0
1616,Yes,2,Nut Free,2024-04-13,PA004,Perth,London,Premium Economy,1340.0
1617,Yes,0,Nut Free,2024-09-20,PA006,Tokyo,London,Business Class,463.2
1618,Yes,3,Egg Free,2024-05-06,PA006,Tokyo,London,Business Class,744.0
1619,Yes,0,Dairy Free,2024-01-18,PA004,Perth,London,Economy,1410.0
1621,Yes,2,Dairy Free,2024-01-27,PA002,New York,London,Economy,3160.0
1624,Yes,0,Nut Free,2024-12-27,PA009,New York,Tokyo,First Class,477.0
1625,Yes,1,Vegetarian,2024-08-13,PA010,Tokyo,New York,First Class,660.0
1630,Yes,2,Vegetarian,2024-06-12,PA008,Perth,New York,Economy,1905.0
1631,Yes,2,Vegan,2024-09-01,PA012,Tokyo,Perth,Economy,2295.0
1633,Yes,3,Egg Free,2024-10-23,PA007,New York,Perth,First Class,414.0
1634,Yes,1,Vegetarian,2024-05-20,PA001,London,New York,Premium Economy,1185.0
1635,Yes,0,Vegetarian,2024-02-17,PA008,Perth,New York,Economy,2880.0
1638,Yes,0,Vegan,2024-01-29,PA002,New York,London,First Class,649.0
1639,Yes,0,Dairy Free,2024-08-16,PA004,Perth,London,Economy,3205.0
1640,Yes,1,Vegetarian,2024-01-04,PA002,New York,London,First Class,398.0
1643,Yes,0,Egg Free,2024-09-06,PA002,New York,London,Economy,2940.0
1646,Yes,0,Egg Free,2024-02-08,PA002,New York,London,Economy,1315.0
1647,Yes,2,Vegan,2024-06-01,PA001,London,New York,Business Class,751.1999999999998
1648,Yes,1,Dairy Free,2024-05-14,PA010,Tokyo,New York,First Class,502.0
1649,Yes,3,Egg Free,2024-10-01,PA008,Perth,New York,Premium Economy,860.0
1650,Yes,3,Vegetarian,2024-11-20,PA005,London,Tokyo,Premium Economy,1007.5
1653,Yes,0,None,2024-08-02,PA001,London,New York,Premium Economy,1502.5
1655,Yes,3,Egg Free,2024-06-09,PA002,New York,London,First Class,530.0
1657,Yes,0,Egg Free,2024-04-03,PA003,London,Perth,Economy,1455.0
1658,Yes,0,Egg Free,2024-05-10,PA008,Perth,New York,Business Class,720.0
1659,Yes,0,Egg Free,2024-10-23,PA003,London,Perth,Business Class,295.2
1660,Yes,0,None,2024-07-29,PA012,Tokyo,Perth,Business Class,840.0
1662,Yes,2,Nut Free,2024-07-05,PA006,Tokyo,London,Business Class,733.1999999999998
1664,Yes,1,Egg Free,2024-08-23,PA009,New York,Tokyo,Premium Economy,945.0
1665,Yes,0,Dairy Free,2024-01-18,PA004,Perth,London,First Class,476.0
1669,Yes,2,Dairy Free,2024-08-17,PA008,Perth,New York,Premium Economy,915.0
1675,Yes,1,Vegetarian,2024-07-28,PA012,Tokyo,Perth,First Class,481.0
1677,Yes,3,Nut Free,2024-06-24,PA006,Tokyo,London,Business Class,338.4
1679,Yes,3,Nut Free,2024-10-05,PA008,Perth,New York,Economy,1345.0
1686,Yes,3,Vegan,2024-03-09,PA010,Tokyo,New York,First Class,500.0
1687,Yes,3,Vegan,2024-03-12,PA008,Perth,New York,Economy,1505.0
1688,Yes,0,Dairy Free,2024-09-22,PA011,Perth,Tokyo,Premium Economy,962.5
1689,Yes,3,Vegan,2024-05-29,PA010,Tokyo,New York,First Class,209.0
1692,Yes,0,Dairy Free,2024-06-27,PA008,Perth,New York,Economy,2310.0
1693,Yes,0,Dairy Free,2024-07-19,PA001,London,New York,First Class,506.0
1702,Yes,2,Egg Free,2024-09-02,PA007,New York,Perth,Economy,2935.0
1703,Yes,3,None,2024-12-15,PA009,New York,Tokyo,Business Class,721.1999999999998
1706,Yes,2,Egg Free,2024-09-07,PA002,New York,London,Business Class,638.4
1707,Yes,3,Vegan,2024-06-14,PA012,Tokyo,Perth,First Class,415.0
1708,Yes,0,Vegetarian,2024-08-30,PA011,Perth,Tokyo,Premium Economy,1167.5
1709,Yes,0,None,2024-02-25,PA009,New York,Tokyo,Premium Economy,772.5
1711,Yes,3,Vegan,2024-01-23,PA007,New York,Perth,Business Class,679.1999999999999
1712,Yes,1,Nut Free,2024-02-25,PA005,London,Tokyo,Business Class,523.1999999999999
1713,Yes,0,Vegetarian,2024-07-25,PA012,Tokyo,Perth,Business Class,739.1999999999998
1714,Yes,1,Dairy Free,2024-01-21,PA003,London,Perth,First Class,544.0
1720,Yes,2,Vegetarian,2024-01-07,PA001,London,New York,Economy,2720.0
1722,Yes,2,Nut Free,2024-01-30,PA010,Tokyo,New York,First Class,599.0
1723,Yes,3,Nut Free,2024-08-15,PA009,New York,Tokyo,First Class,618.0
1724,Yes,1,None,2024-11-23,PA005,London,Tokyo,Premium Economy,1220.0
1725,Yes,0,Nut Free,2024-01-22,PA008,Perth,New York,Business Class,297.6
1730,Yes,3,None,2024-12-12,PA009,New York,Tokyo,Economy,2040.0
1732,Yes,2,Vegan,2024-05-29,PA003,London,Perth,First Class,388.0
1733,Yes,3,Dairy Free,2024-04-23,PA009,New York,Tokyo,First Class,649.0
1734,Yes,1,Nut Free,2024-09-10,PA012,Tokyo,Perth,Economy,2400.0
1735,Yes,0,Vegetarian,2024-01-29,PA012,Tokyo,Perth,Premium Economy,1287.5
1736,Yes,1,Nut Free,2024-06-04,PA001,London,New York,Economy,1020.0
1737,Yes,2,Dairy Free,2024-06-20,PA008,Perth,New York,Premium Economy,517.5
1739,Yes,2,Vegetarian,2024-05-15,PA001,London,New York,Premium Economy,720.0
1740,Yes,2,None,2024-01-09,PA002,New York,London,Business Class,284.4
1741,Yes,1,Nut Free,2024-09-26,PA011,Perth,Tokyo,Economy,3495.0
1743,Yes,0,Vegetarian,2024-03-26,PA012,Tokyo,Perth,Premium Economy,1577.5
1744,Yes,3,Vegetarian,2024-01-07,PA012,Tokyo,Perth,Premium Economy,707.5
1745,Yes,1,Dairy Free,2024-04-01,PA007,New York,Perth,First Class,307.0
1747,Yes,1,Vegan,2024-09-07,PA011,Perth,Tokyo,Premium Economy,1557.5
1749,Yes,1,Egg Free,2024-08-30,PA008,Perth,New York,Premium Economy,502.5
1751,Yes,3,Nut Free,2024-12-09,PA008,Perth,New York,Premium Economy,1690.0
1753,Yes,0,None,2024-05-24,PA012,Tokyo,Perth,Economy,2370.0
1754,Yes,1,Dairy Free,2024-07-27,PA011,Perth,Tokyo,Business Class,343.2
1755,Yes,3,Vegetarian,2024-02-17,PA002,New York,London,First Class,461.0
1760,Yes,3,Vegetarian,2024-06-17,PA004,Perth,London,Economy,1755.0
1763,Yes,2,Vegetarian,2024-08-05,PA007,New York,Perth,Economy,2915.0
1767,Yes,3,Dairy Free,2024-11-09,PA010,Tokyo,New York,Economy,1855.0
1768,Yes,3,Egg Free,2024-06-03,PA007,New York,Perth,First Class,608.0
1773,Yes,3,Dairy Free,2024-11-17,PA010,Tokyo,New York,First Class,540.0
1774,Yes,0,Vegetarian,2024-12-25,PA006,Tokyo,London,Premium Economy,1185.0
1775,Yes,1,Vegan,2024-10-21,PA003,London,Perth,First Class,493.0
1777,Yes,0,Nut Free,2024-09-24,PA001,London,New York,First Class,655.0
1779,Yes,3,Vegan,2024-04-28,PA010,Tokyo,New York,First Class,569.0
1781,Yes,0,Egg Free,2024-08-14,PA005,London,Tokyo,Premium Economy,1050.0
1782,Yes,3,Dairy Free,2024-10-01,PA008,Perth,New York,Premium Economy,1487.5
1784,Yes,3,Dairy Free,2024-08-28,PA008,Perth,New York,First Class,523.0
1785,Yes,1,Vegan,2024-08-27,PA010,Tokyo,New York,Premium Economy,1475.0
1786,Yes,2,Egg Free,2024-07-04,PA011,Perth,Tokyo,First Class,433.0
1788,Yes,1,Vegan,2024-11-22,PA011,Perth,Tokyo,Premium Economy,1155.0
1790,Yes,2,Vegetarian,2024-10-11,PA002,New York,London,First Class,344.0
1793,Yes,3,None,2024-07-26,PA003,London,Perth,Premium Economy,1277.5
1794,Yes,3,Nut Free,2024-10-27,PA010,Tokyo,New York,Economy,3145.0
1795,Yes,1,Nut Free,2024-09-18,PA001,London,New York,Business Class,751.1999999999998
1796,Yes,2,Dairy Free,2024-08-06,PA007,New York,Perth,First Class,659.0
1800,Yes,2,Vegetarian,2024-03-21,PA009,New York,Tokyo,Premium Economy,647.5
1802,Yes,3,Vegetarian,2024-04-01,PA009,New York,Tokyo,Premium Economy,830.0
1805,Yes,2,Nut Free,2024-03-30,PA001,London,New York,Business Class,806.4
1806,Yes,3,Nut Free,2024-05-27,PA010,Tokyo,New York,Business Class,703.1999999999999
1808,Yes,1,None,2024-12-21,PA003,London,Perth,Economy,2585.0
1811,Yes,1,Nut Free,2024-10-29,PA010,Tokyo,New York,Business Class,410.4
1815,Yes,2,Nut Free,2024-11-11,PA001,London,New York,Business Class,337.2
1817,Yes,1,Vegetarian,2024-03-28,PA010,Tokyo,New York,Business Class,523.1999999999999
1818,Yes,3,Nut Free,2024-07-20,PA012,Tokyo,Perth,Business Class,822.0
1821,Yes,0,Vegan,2024-06-20,PA006,Tokyo,London,First Class,300.0
1823,Yes,1,Egg Free,2024-12-22,PA006,Tokyo,London,Premium Economy,627.5
1825,Yes,3,Vegetarian,2024-11-10,PA006,Tokyo,London,Premium Economy,1390.0
1827,Yes,3,Vegan,2024-08-08,PA004,Perth,London,Business Class,357.6
1828,Yes,2,Vegetarian,2024-02-09,PA001,London,New York,Premium Economy,1167.5
1830,Yes,2,Egg Free,2024-05-14,PA006,Tokyo,London,Premium Economy,1350.0
1833,Yes,3,Dairy Free,2024-02-10,PA001,London,New York,Premium Economy,815.0
1838,Yes,2,Dairy Free,2024-03-20,PA006,Tokyo,London,Economy,1860.0
1843,Yes,2,None,2024-04-04,PA009,New York,Tokyo,Premium Economy,1425.0
1850,Yes,1,None,2024-12-17,PA012,Tokyo,Perth,Premium Economy,1440.0
1851,Yes,1,Vegetarian,2024-10-27,PA002,New York,London,Business Class,397.2
1855,Yes,2,Egg Free,2024-08-02,PA005,London,Tokyo,Premium Economy,687.5
1856,Yes,1,Nut Free,2024-12-06,PA001,London,New York,Economy,2635.0
1859,Yes,0,Egg Free,2024-04-05,PA005,London,Tokyo,Premium Economy,1552.5
1860,Yes,0,Dairy Free,2024-10-19,PA007,New York,Perth,Economy,2230.0
1862,Yes,3,Vegan,2024-09-07,PA003,London,Perth,Business Class,446.4
1863,Yes,3,None,2024-07-12,PA008,Perth,New York,Economy,1165.0
1866,Yes,0,Nut Free,2024-10-18,PA007,New York,Perth,Business Class,501.6
1867,Yes,2,Dairy Free,2024-05-02,PA003,London,Perth,First Class,668.0
1868,Yes,0,Dairy Free,2024-07-05,PA001,London,New York,Economy,2685.0
1870,Yes,2,Vegetarian,2024-06-22,PA003,London,Perth,Premium Economy,1162.5
1871,Yes,1,Vegetarian,2024-11-28,PA009,New York,Tokyo,Business Class,643.1999999999999
1873,Yes,0,None,2024-06-12,PA010,Tokyo,New York,First Class,624.0
1875,Yes,1,Vegan,2024-05-20,PA008,Perth,New York,First Class,629.0
1877,Yes,1,Dairy Free,2024-12-21,PA009,New York,Tokyo,First Class,381.0
1879,Yes,0,Egg Free,2024-01-25,PA003,London,Perth,Business Class,711.6
1880,Yes,2,Nut Free,2024-05-21,PA006,Tokyo,London,First Class,617.0
1881,Yes,0,Egg Free,2024-01-23,PA001,London,New York,First Class,254.0
1885,Yes,3,Vegetarian,2024-10-13,PA011,Perth,Tokyo,Business Class,337.2
1886,Yes,1,Dairy Free,2024-12-20,PA007,New York,Perth,Economy,3045.0
1889,Yes,3,Dairy Free,2024-09-24,PA004,Perth,London,Premium Economy,1075.0
1891,Yes,2,Egg Free,2024-11-06,PA010,Tokyo,New York,Business Class,277.2
1895,Yes,3,Vegan,2024-06-29,PA009,New York,Tokyo,Economy,2740.0
1896,Yes,1,Egg Free,2024-03-01,PA007,New York,Perth,Business Class,685.1999999999999
1898,Yes,0,Dairy Free,2024-09-02,PA008,Perth,New York,First Class,458.0
1906,Yes,0,None,2024-04-08,PA010,Tokyo,New York,First Class,223.0
1907,Yes,1,Vegan,2024-02-25,PA005,London,Tokyo,Premium Economy,1002.5
1909,Yes,3,Vegetarian,2024-07-28,PA007,New York,Perth,Economy,1360.0
1911,Yes,2,Nut Free,2024-12-27,PA012,Tokyo,Perth,Business Class,637.1999999999999
1912,Yes,2,Dairy Free,2024-05-06,PA004,Perth,London,Business Class,626.4
1917,Yes,0,None,2024-12-29,PA007,New York,Perth,First Class,607.0
1918,Yes,0,None,2024-06-27,PA006,Tokyo,London,Premium Economy,617.5
1919,Yes,1,Vegan,2024-06-21,PA005,London,Tokyo,Economy,2635.0
1920,Yes,2,Nut Free,2024-02-15,PA006,Tokyo,London,Economy,3445.0
1921,Yes,3,Vegan,2024-10-03,PA006,Tokyo,London,Economy,2805.0
1923,Yes,2,Egg Free,2024-04-04,PA012,Tokyo,Perth,Economy,3190.0
1926,Yes,3,Nut Free,2024-09-16,PA002,New York,London,Premium Economy,720.0
1928,Yes,3,Egg Free,2024-04-25,PA003,London,Perth,Economy,2450.0
1929,Yes,3,None,2024-06-09,PA001,London,New York,Business Class,584.4
1932,Yes,2,Nut Free,2024-06-14,PA009,New York,Tokyo,Premium Economy,695.0
1933,Yes,3,Dairy Free,2024-03-14,PA002,New York,London,Premium Economy,1360.0
1935,Yes,0,Dairy Free,2024-06-23,PA010,Tokyo,New York,Economy,2345.0
1937,Yes,3,Egg Free,2024-10-13,PA010,Tokyo,New York,First Class,615.0
1941,Yes,1,Vegetarian,2024-01-24,PA007,New York,Perth,Premium Economy,1462.5
1942,Yes,2,Vegan,2024-09-09,PA010,Tokyo,New York,Business Class,540.0
1943,Yes,2,Vegan,2024-01-11,PA008,Perth,New York,Business Class,516.0
1945,Yes,3,Dairy Free,2024-11-10,PA010,Tokyo,New York,First Class,595.0
1948,Yes,0,Vegetarian,2024-12-01,PA007,New York,Perth,Premium Economy,637.5
1950,Yes,3,Vegetarian,2024-08-22,PA012,Tokyo,Perth,First Class,605.0
1953,Yes,3,Dairy Free,2024-11-26,PA005,London,Tokyo,First Class,316.0
1954,Yes,1,Dairy Free,2024-02-17,PA003,London,Perth,First Class,561.0
1955,Yes,3,Dairy Free,2024-05-07,PA002,New York,London,Premium Economy,895.0
1958,Yes,1,Vegetarian,2024-05-24,PA009,New York,Tokyo,First Class,514.0
1959,Yes,3,Vegetarian,2024-08-09,PA008,Perth,New York,Business Class,366.0
1960,Yes,2,Dairy Free,2024-12-28,PA012,Tokyo,Perth,Premium Economy,1357.5
1964,Yes,0,Nut Free,2024-01-17,PA004,Perth,London,Economy,2120.0
1966,Yes,2,Egg Free,2024-12-02,PA006,Tokyo,London,First Class,397.0
1968,Yes,1,Dairy Free,2024-12-18,PA010,Tokyo,New York,First Class,697.0
1975,Yes,2,Nut Free,2024-02-21,PA004,Perth,London,Business Class,606.0
1976,Yes,1,Vegan,2024-04-23,PA008,Perth,New York,Premium Economy,750.0
